"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"122",1895,21.22,10.402,88.84,40.98,112.2,71.16,39.4,408.6,1.206,0.39,2.244,0.048
"123",1896,21.1,10.52,85.05,41.05,112,72.3,35.6,410.5,1.205,0.38,2.28,0.05
"124",1897,20.4666666666667,10.2766666666667,86.2,42.2,114,75.1333333333333,34.9,417,1.21666666666667,0.38625,2.2975,0.04875
"125",1898,19.8333333333333,10.0333333333333,87.35,43.35,116,77.9666666666667,34.2,423.5,1.22833333333333,0.3925,2.315,0.0475
"126",1899,19.2,9.79,88.5,44.5,118,80.8,33.5,430,1.24,0.39875,2.3325,0.04625
"127",1900,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"128",1901,29.5,15,91.6,38.4,112,67,50.6,398,1.18,0.41125,2.3675,0.04375
"129",1902,18,8.93,89.5,44.2,117,80.1,35.6,426,1.23,0.4175,2.385,0.0425
"130",1903,19.05,9.865,90.65,43.95,117.5,79.6,36.9,426,1.235,0.42375,2.4025,0.04125
"131",1904,20.1,10.8,91.8,43.7,118,79.1,38.2,426,1.24,0.43,2.42,0.04
"132",1905,31.35,12.8,94.05,41.1,113.5,71.8,47.05,408.5,1.215,0.42,2.14,0.04
"133",1906,42.6,14.8,96.3,38.5,109,64.5,55.9,391,1.19,0.41,1.86,0.04
"134",1907,24.5,10.7,95.5,43.5,119,80.2,40.8,427,1.25,0.413888888888889,1.90666666666667,0.04
"135",1908,30.5333333333333,11.8833333333333,96.85,42.8833333333333,117.666666666667,77.7666666666667,43.4833333333333,421.166666666667,1.23,0.417777777777778,1.95333333333333,0.04
"136",1909,36.5666666666667,13.0666666666667,98.2,42.2666666666667,116.333333333333,75.3333333333333,46.1666666666667,415.333333333333,1.21,0.421666666666667,2,0.04
"137",1910,42.6,14.25,99.55,41.65,115,72.9,48.85,409.5,1.19,0.425555555555556,2.04666666666667,0.04
"138",1911,38.9666666666667,13.4666666666667,99.0333333333333,42.4333333333333,115.666666666667,75.1333333333333,46.5,413,1.2,0.429444444444444,2.09333333333333,0.04
"139",1912,35.3333333333333,12.6833333333333,98.5166666666667,43.2166666666667,116.333333333333,77.3666666666667,44.15,416.5,1.21,0.433333333333333,2.14,0.04
"140",1913,31.7,11.9,98,44,117,79.6,41.8,420,1.22,0.437222222222222,2.18666666666667,0.04
"141",1914,38.65,13.9,95.225,42.7,114.75,75.925,41.275,413.25,1.215,0.441111111111111,2.23333333333333,0.04
"142",1915,45.6,15.9,92.45,41.4,112.5,72.25,40.75,406.5,1.21,0.445,2.28,0.04
"143",1916,44.0666666666667,14.7666666666667,97.3,42.3,114.333333333333,74.8,42.1666666666667,410.333333333333,1.21333333333333,0.466666666666667,2.36333333333333,0.04
"144",1917,42.5333333333333,13.6333333333333,102.15,43.2,116.166666666667,77.35,43.5833333333333,414.166666666667,1.21666666666667,0.488333333333333,2.44666666666667,0.04
"145",1918,41,12.5,107,44.1,118,79.9,45,418,1.22,0.51,2.53,0.04
"146",1919,46.6,15.15,94.45,41.85,113,72.9,40.25,403,1.195,0.52,2.5,0.035
"147",1920,52.2,17.8,81.9,39.6,108,65.9,35.5,388,1.17,0.53,2.47,0.03
"148",1921,37.2,13.3,107,44.8,119,82.1,44.4,426,1.22,0.546666666666667,2.51666666666667,0.03
"149",1922,38.65,13.7,109.5,45.3,119.5,82.55,44.65,429,1.22,0.563333333333333,2.56333333333333,0.03
"150",1923,40.1,14.1,112,45.8,120,83,44.9,432,1.22,0.58,2.61,0.03
"151",1924,46.25,16.2,109.5,43.45,116,75.35,62.1,417.5,1.195,0.585,2.62,0.03
"152",1925,52.4,18.3,107,41.1,112,67.7,79.3,403,1.17,0.59,2.63,0.03
"153",1926,38,13.5,114,45.1,119,83.8,43.9,441,1.21,0.6,2.73,0.03
"154",1927,38.35,13.75,114,45.1,119.5,83.9,44.45,432.5,1.195,0.6,2.765,0.03
"155",1928,38.7,14,114,45.1,120,84,45,424,1.18,0.6,2.8,0.03
"156",1929,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
"157",1930,44.8,18,100.35,43.85,117,77.15,40.6,416.5,1.235,0.606666666666667,2.82,0.03
"158",1931,39.7,16.1,115,46.3,121,83.2,45.9,432,1.27,0.61,2.83,0.03
"159",1932,41.95,16.7333333333333,113.833333333333,45.0166666666667,119.166666666667,80.75,47.9666666666667,425.333333333333,1.23833333333333,0.62,2.93,0.03
"160",1933,44.2,17.3666666666667,112.666666666667,43.7333333333333,117.333333333333,78.3,50.0333333333333,418.666666666667,1.20666666666667,0.63,3.03,0.03
"161",1934,46.45,18,111.5,42.45,115.5,75.85,52.1,412,1.175,0.64,3.13,0.03
"162",1935,44.6,16.9666666666667,113,43.2666666666667,117,78.8666666666667,50.4,417,1.19333333333333,0.646,3.146,0.029
"163",1936,42.75,15.9333333333333,114.5,44.0833333333333,118.5,81.8833333333333,48.7,422,1.21166666666667,0.652,3.162,0.028
"164",1937,40.9,14.9,116,44.9,120,84.9,47,427,1.23,0.658,3.178,0.027
"165",1938,44.875,16.575,115.5,44.35,118,81.475,51.175,417.25,1.2025,0.664,3.194,0.026
"166",1939,48.85,18.25,115,43.8,116,78.05,55.35,407.5,1.175,0.67,3.21,0.025
"167",1940,46.4333333333333,17.3,116,44.5,117.666666666667,79.7,52.9666666666667,414.666666666667,1.19666666666667,0.686666666666667,3.40666666666667,0.0266666666666667
"168",1941,44.0166666666667,16.35,117,45.2,119.333333333333,81.35,50.5833333333333,421.833333333333,1.21833333333333,0.703333333333333,3.60333333333333,0.0283333333333333
"169",1942,41.6,15.4,118,45.9,121,83,48.2,429,1.24,0.72,3.8,0.03
"170",1943,55,21.5,114,41.6,113,71.8,58.8,392,1.19,0.72,3.8,0.03
"171",1944,42.4,14.9,117,45.5,119,85.1,47.1,428,1.19,0.72,3.8,0.03
"172",1945,41.6666666666667,14.3,117.333333333333,45.6333333333333,119,86.5333333333333,47.2,426.666666666667,1.15666666666667,0.725,3.68,0.0275
"173",1946,40.9333333333333,13.7,117.666666666667,45.7666666666667,119,87.9666666666667,47.3,425.333333333333,1.12333333333333,0.73,3.56,0.025
"174",1947,40.2,13.1,118,45.9,119,89.4,47.4,424,1.09,0.735,3.44,0.0225
"175",1948,54.9,21.8,115,41.9,112,71,59,385,1.18,0.74,3.32,0.02
"176",1949,42.5,13.8,120,45.4,120,88,48.9,439,1.13,0.73875,3.3525,0.02125
"177",1950,45.3833333333333,15.5833333333333,119.666666666667,44.7833333333333,118.5,85.0666666666667,51.3333333333333,432.666666666667,1.13166666666667,0.7375,3.385,0.0225
"178",1951,48.2666666666667,17.3666666666667,119.333333333333,44.1666666666667,117,82.1333333333333,53.7666666666667,426.333333333333,1.13333333333333,0.73625,3.4175,0.02375
"179",1952,51.15,19.15,119,43.55,115.5,79.2,56.2,420,1.135,0.735,3.45,0.025
"180",1953,48.225,17.575,121,44.275,116.75,83.2,53.4,425,1.1175,0.74875,3.4675,0.02375
"181",1954,45.3,16,123,45,118,87.2,50.6,430,1.1,0.7625,3.485,0.0225
"182",1955,52.95,20.85,121.5,43.25,114.5,78.95,57.5,406,1.12,0.77625,3.5025,0.02125
"183",1956,60.6,25.7,120,41.5,111,70.7,64.4,382,1.14,0.79,3.52,0.02
"184",1957,40,12.8,119,45.2,119,88,49.2,422,1.1,0.786666666666667,3.50833333333333,0.0216666666666667
"185",1958,46.175,17.05,119.75,44.35,116.75,83.75,53.325,412.25,1.1125,0.783333333333333,3.49666666666667,0.0233333333333333
"186",1959,52.35,21.3,120.5,43.5,114.5,79.5,57.45,402.5,1.125,0.78,3.485,0.025
